id,year,market,title,authors_institution,method,data_or_sample,key_contribution,gap_relevance,url
PE_HOUS_011,2024,housing_rent,"Modelo predictivo de precios de alquiler en Lima","Cacñahuaray & Jiménez - UPEU","ML ensemble","3675 registros, 2023","Predicción de rentas","Predicción ya cubierta","https://alicia.concytec.gob.pe/vufind/Record/UEPU_d5f6f75fb4beffceac25e363aa696458"
PE_HOUS_012,2025,housing_sales,"Gestión de demanda y proyección de ventas en Lima Top","Mamani Ambrosio - UNMSM","business analytics/process","empresa inmobiliaria","Integra ERP, Power BI y gestión comercial","Gap en identificación económica","https://alicia.concytec.gob.pe/vufind/Record/UNMS_49d02934df4df83165e7b0e03262bf7f"
INT_HOUS_001,2013,housing,"To Sell or Not to Sell: Measuring the Heat of the Housing Market","Paul E. Carrillo - Real Estate Economics","structural search + hedonic/TOM","Washington DC","Combina list/sale price y time-on-market para poder de negociación","Plantilla conceptual para Lima","https://onlinelibrary.wiley.com/doi/10.1111/reec.12003"
INT_PRIC_001,2012,dynamic_pricing,"Dynamic Pricing with Financial Milestones","Besbes & Maglaras - Management Science","dynamic pricing theory","inventory + horizon + milestones","Pricing con metas intermedias de ventas/ingreso","Muy conectado a hitos inmobiliarios","https://pubsonline.informs.org/doi/10.1287/mnsc.1110.1513"
INT_HOUS_002,2024,housing,"Housing Market Discount Rates: Evidence from Bargaining and Bidding Wars","Koster & Rouwendal","microeconometrics/IV","large transaction panel","Markup eleva precio y time-on-market","Motiva trade-off precio-tiempo","https://onlinelibrary.wiley.com/doi/10.1111/iere.12679"
PE_FUEL_001,2002,fuel,"Determinantes de los precios minoristas en el mercado de gasolina en Lima","Gonzalo Ruiz Díaz - PUCP","reaction curves","84 estaciones, 22 distritos, 1999-2000","Marca, geografía y baja intensidad de competencia","Actualizar a panel nacional high-frequency","https://repositorio.pucp.edu.pe/items/7be61246-141b-420d-b037-6881dd726b0b"
PE_FUEL_002,2025,fuel,"Caso de colusión en combustibles de Chimbote","Correa Adanaque - UDEP","variance/cartel screening","21 estaciones; 2012 y 2014","Evalúa herramienta de detección de colusión","Escalar y complementar con spatial/pass-through","https://alicia.concytec.gob.pe/vufind/Record/UDEP_8b86c48e03484b4d2dfbaf66dc60b81c"
PE_RETAIL_001,2021,online_retail,"¿Qué tan rígidos son los precios en línea? Evidencia para Perú usando Big Data","Coronado, Lahura & Vega","price duration/frequency","4.5m precios, una tienda, 2016-2020","Precios online menos rígidos que referencias externas","Extender multi-retailer y pass-through","https://alicia.concytec.gob.pe/vufind/Record/USUR_ff3ffba8b2f97b99821d65183c7eb066"
PE_CACAO_001,2017,cacao,"Análisis de causas de variación en exportaciones del cacao peruano","Sevilla Rojas - USIL","econometric","Perú","Producción, precio y TC → exportaciones","No repetir función de exportación simple","https://alicia.concytec.gob.pe/vufind/Record/USIL_1da7675ddafde99774e50cca6c5e47e7"
PE_CACAO_002,2023,cacao,"Producción y exportación del grano de cacao en Perú 1991-2021","Guardia, Herrera & Valerin - UNAC","ARDL","1991-2021","Precio chacra, superficie y rendimiento explican exportación","Gap: transmisión internacional→chacra regional","https://alicia.concytec.gob.pe/vufind/Record/UNAC_88c8de1748dd94b7ce9440c644055873"
PE_CACAO_003,2024,cacao,"Cadena de valor agregado y distribución del cacao","Huanaco Valero - PUCP","literature + empirical agenda","ENA/MINCETUR","Destaca intermediación e ingresos del productor","Abre análisis causal/heterogéneo de transmisión","https://repositorio.pucp.edu.pe/items/daf1ad64-f262-4161-8692-a8edb9a5bf2b"
PE_MACRO_001,2026,macro_prices,"Asimetrías y no linealidades en transmisión del tipo de cambio a inflación","Pérez Forero - BCRP","Bayesian nonlinear SVAR","Perú","ERPT variable, asimétrico y no lineal","Mover pregunta desde IPC a micro-pricing","https://investigacion.bcrp.gob.pe/es/investigaciones/documentos-de-trabajo/dt-2026/dt-2026-007"
PE_MACRO_002,2026,macro_prices,"Exchange Rate Pass-Through and its evolution in Peru","Ledesma, Pérez Forero & Abanto - BCRP","TVP-SV-BVAR + instruments","1996-2024","ERPT a import, producer y consumer inflation","Marco benchmark para pass-through inmobiliario","https://investigacion.bcrp.gob.pe/en/research/working-papers/wp-2026/wp-2026-018"
